No.,Location,Product,Variant,SKU,Barcode,Cost,Reason,Notes,Employee,Status,Date,Adjustment
3268,CN Warehouse,Mini Desktop Tripod Compatible with DJI Osmo Pocket 3 / Pocket 4,Default Title,PK30,,,Manual adjustment,532627有一个包装烂了，yan拿来用，扣翻库存出来,kay,adjusted,31/07/2026,-1
3269,CN Warehouse,# MOFAGE POCO II Lens Adapter Body,Default Title,MB,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,-1
3269,CN Warehouse,MOFAGE PL Front Lens Mount For POCO II Adapter,Default Title,PLM,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,-1
3269,CN Warehouse,MOFAGE POCO Interchangeable mount for E/RF/L/Z/X/Kine,E Mount,E-M,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,-1
3270,CineGearPro Shop,# MOFAGE POCO II Lens Adapter Body,Default Title,MB,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,1
3270,CineGearPro Shop,MOFAGE PL Front Lens Mount For POCO II Adapter,Default Title,PLM,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,1
3270,CineGearPro Shop,MOFAGE POCO Interchangeable mount for E/RF/L/Z/X/Kine,E Mount,E-M,,,Manual adjustment,CGP126773 中国直发客人，其中 PK3431 转仓的时候bundle无调整到单品库存，现手动调整，而 EFM 转仓的时候有调整到库存，所以不用调整,kay,adjusted,31/07/2026,1
3271,CN Warehouse,#MOFAGE POCO II Paper Box only,Default Title,540698,540698,,Manual adjustment,#3269 后续，漏了纸盒无扣，调整CN库存，纸盒UK没有扣过库存，所以不用调整UK库存,kay,adjusted,31/07/2026,-1
3274,CineGearPro Shop,EcoFlow RIVER 2 Max 512Wh Portable Power Station,Default Title,ZMR610-B-US,,,Manual adjustment,Personal eBay order：535440，扣一个库存,kay,adjusted,03/08/2026,-1
3275,CineGearPro Shop,EcoFlow 100W Rigid Solar Panel Bundle Kit,2Pcs / Pick up,ZMS331,,,Manual adjustment,Personal eBay order：535559，扣一个库存,kay,adjusted,03/08/2026,-1
3276,CN Warehouse,#MOFAGE POCO II Paper Box only,Default Title,540698,540698,,Manual adjustment,POCO II 15个纸盒分别装了15张订单已发出UK，扣出库存,kay,adjusted,03/08/2026,-15
3277,CineGearPro Shop,PDMOVIE SMART FUSION Autofocus Lens Adapter for LIVE AIR 4 SMART (Sony E Mount),PD-SF,PD-SF,,,Manual adjustment,CGP126802 客人取消订单，其中PD-SF 因为调整过网站链接无法自动restock，现手动增加库存,kay,adjusted,03/08/2026,1
3278,CineGearPro Shop,EcoFlow DELTA Max Smart Extra Battery,Default Title,DELTA2000EB-US,,,Manual adjustment,Personal eBay order：535402，扣一个库存,kay,adjusted,03/08/2026,-1
